FID,plot,other_name,gradient,park,project,SU,strata_LC,strata_GD,Observ1,Observ2,Observ3,elev,slope,inc_radiat,heat_loa,aspect,tree,subshrub,shrub,forb,gram,bryo,lichen,soil,duff,rock,water,richness,succ_p,succ_a,height,tissue,comment,lat,long,GPS_accur,Max_PDOP,Max_HDOP,Corr_Type,Rcvr_Type,GPS_Date,GPS_Time,Update_Sta,Feat_Name,Datafile,Unfilt_Pos,Filt_Pos,Data_Dicti,GPS_Height,Vert_Prec,Horz_Prec,Std_Dev,vascular,topo,HUC,Ecoreg_1,Ecoreg_2,Ecoreg_3,Eco_veg,Dep_type,Dep_Name,SecEcoR,Section,Subsect,Lithol,Physiogr,Limest,Beikman,Calcar,arcn_20100,arcn_20101,arcn_20102,arcn_20103,arcn_20104,arcn_20105,arcn_20106
59,3L, ,1,1,BELA-E,Lplot,Dwarf Shrub - Lichen Dominated,Block3,Emily A Holt,Scott W Miller, ,650,0.01,-0.676239,0.506638,12,0,20,12,10,65,15,25,1.5,1,0,14,17,2.350556,2.292512,8.355,0, ,65.484256,-163.643857,<15m, , , ,Garmin 12Map,7/14/03 0:00, , , , , , , , , , , , ,3,13,3,5,276,1,32,2,6,12,35,1,9,2,304,0,6,164,174,124,83,76,70
60,3M, ,1,1,BELA-E,Lplot,Mesic/Dry Herbaceous,Block3,Emily A Holt,Scott W Miller, ,350,2,-0.698993,0.999687,312,0,30,10,7,50,18,25,0,1,0,4,20,2.170689,2.293942,9.43,0, ,65.530116,-163.964301,<15m, , , ,Garmin 12Map,7/3/03 0:00, , , , , , , , , , , , ,3,13,3,5,276,1,32,2,6,17,54,2,11,2,304,0,6,160,190,148,83,76,59
61,3P, ,1,1,BELA-E,Lplot,Open Low Shrub - Dwarf Birch/Ericaceous,Block3,Emily A Holt,Scott W Miller, ,375,2.75,-0.650284,0.986821,262,0,48,17,25,65,15,8,0,1,0,2,18,1.933726,2.058192,7.92,0, ,65.536773,-164.080623,<15m, , , ,Garmin 12Map,7/3/03 0:00, , , , , , , , , , , , ,3,13,3,5,276,2,52,2,6,17,54,2,11,2,304,0,6,143,176,146,87,64,60
62,3S-b, ,1,1,BELA-E,Lplot,Sparse Vegetation,Block3,Emily A Holt,Scott W Miller, ,650,0,-0.676,0.237339,0,0,15,10,2,3,4,58,3,1,57,0,42,2.086297,2.229251,8.391555,0, ,65.487544,-163.687406,<15m, , , ,Garmin 12Map,7/14/03 0:00, , , , , , , , , , , , ,2,13,3,5,276,1,32,2,6,12,33,34,18,2,304,0,7,181,149,78,88,75,69
63,3S-c, ,1,1,BELA-E,Lplot,Sparse Vegetation,Block3,Emily A Holt,Scott W Miller, ,600,1,-0.657053,0.252564,178,0,4,8,1,2,3,55,3,1,75,0,31,2.133728,2.30539,7.283292,0, ,65.562935,-163.85653,<15m, , , ,Garmin 12Map,7/3/03 0:00, , , , , , , , , , , , ,3,13,3,5,276,1,32,2,6,12,33,34,18,2,303,0,8,197,158,72,86,69,71
64,4L, ,1,1,BELA-E,Lplot,Dwarf Shrub - Lichen Dominated,Block4,Emily A Holt,Peter Neitlich, ,1325,1,-0.657409,0.998044,180,0,23,12,5,15,10,40,2,5,5,1,45,2.16963,2.297919,5.754018,0, ,65.509785,-163.155502,<15m, , , ,Garmin 12Map,6/19/03 0:00, , , , , , , , , , , , ,2,10,3,5,276,3,32,2,6,12,35,1,9,2,304,0,6,151,187,152,91,84,72
65,4M, ,1,1,BELA-E,Lplot,Mesic/Dry Herbaceous,Block4,Emily A Holt,Scott W Miller, ,1100,0.01,-0.676061,0.879844,60,0,22,9,11,42,33,10,0,5,0,1,24,2.087963,2.196502,10.075,0, ,65.573739,-163.312513,<15m, , , ,Garmin 12Map,7/29/03 0:00, , , , , , , , , , , , ,3,10,3,5,258,1,120,2,4,7,20,33,9,2,304,0,5,186,204,152,90,88,72
66,4P, ,1,1,BELA-E,Lplot,Open Low Shrub - Dwarf Birch/Ericaceous,Block4,Emily A Holt,Scott W Miller, ,1000,1,-0.664317,0.88554,104,0,20,15,8,45,4,21,1.5,0.5,16,1,31,2.079022,2.174997,6.184,0, ,65.498911,-163.496931,<15m, , , ,Garmin 12Map,7/6/03 0:00, , , , , , , , , , , , ,3,10,3,5,258,2,120,2,4,7,20,33,9,2,304,0,7,148,171,142,85,68,55
67,4S, ,1,1,BELA-E,Lplot,Sparse Vegetation,Block4,Emily A Holt,Scott W Miller, ,1100,0,-0.676,0.237339,0,0,5,0,0,0,0.01,79,0,0.01,91,0,23,2.394123,2.569737,7.149385,0, ,65.504791,-163.43965,<15m, , , ,Garmin 12Map,7/29/03 0:00, , , , , , , , , , , , ,2,14,3,5,276,3,24,2,6,3,16,5,13,2,1194,0,7,172,122,36,59,47,55
68,5L, ,1,1,BELA-E,Lplot,Dwarf Shrub - Lichen Dominated,Block5,Emily A Holt,Scott W Miller, ,925,7,-0.641143,0.222443,88,0,1,0,30,40,28,15,1,1.5,2.5,0.5,21,2.031481,2.008333,2.25488,0, ,65.797259,-162.74411,<15m, , , ,Garmin 12Map,7/9/03 0:00, , , , , , , , , , , , ,3,13,3,5,276,2,52,2,6,17,54,2,11,2,304,0,1,151,167,125,78,66,49
69,5M, ,1,1,BELA-E,Lplot,Mesic/Dry Herbaceous,Block5,Emily A Holt,Scott W Miller, ,800,5,-0.607322,0.758885,112,0,5,38,35,25,40,8,1,3,0,1,12,2.047222,1.944872,4.975,0, ,65.821323,-162.740055,<15m, , , ,Garmin 12Map,7/9/03 0:00, , , , , , , , , , , , ,2,13,3,5,276,3,32,2,6,12,35,1,9,2,303,0,1,140,163,134,84,67,56
70,5P, ,1,1,BELA-E,Lplot,Open Low Shrub - Dwarf Birch/Ericaceous,Block5,Emily A Holt,Scott W Miller, ,850,1.5,-0.668732,0.971997,274,0,45,25,9,44,7,2.5,1.5,5,0,1,11,1.638889,1.611111,3.68,0, ,65.622105,-162.944943,<15m, , , ,Garmin 12Map,7/30/03 0:00, , , , , , , , , , , , ,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,147,166,141,79,72,63
71,5S, ,1,1,BELA-E,Lplot,Sparse Vegetation,Block5,Emily A Holt,Peter Neitlich, ,1050,6,-0.809947,0.004399,20,0,20,0,0.01,0,0,30,10,1,70,0,37,2.309309,2.348844,2.527139,0, ,65.800391,-162.969722,<15m, , , ,Garmin 12Map,6/14/03 0:00, , , , , , , , , , , , ,2,13,3,5,276,1,32,3,6,12,35,1,9,2,304,0,4,154,136,74,85,67,79
72,5S-b, ,1,1,BELA-E,Lplot,Sparse Vegetation,Block5,Emily A Holt,Scott W Miller, ,1900,8.5,-0.596527,0.401108,260,0,0,0,32,9,1,43,4,0,55,0,23,2.220513,2.236905,3.011685,0, ,65.770211,-163.254926,<15m, , , ,Garmin 12Map,7/9/03 0:00, , , , , , , , , , , , ,2,13,3,5,276,1,32,3,6,12,35,1,9,2,304,0,4,255,205,122,153,126,132
73,6L, ,1,1,BELA-E,Lplot,Dwarf Shrub - Lichen Dominated,Block6,Emily A Holt,Scott W Miller, ,1150,1.5,-0.648181,0.969003,230,0,29,10,65,7,9,21,1,2.5,1.5,2,22,2.165146,2.304904,11.053333,0, ,65.660943,-163.232321,<15m, , , ,Garmin 12Map,7/30/03 0:00, , , , , , , , , , , , ,1,13,3,5,276,3,32,3,6,10,25,15,12,3,1193,1,6,171,198,146,95,79,60
74,6L-b, ,1,1,BELA-E,Lplot,Dwarf Shrub - Lichen Dominated,Block6,Emily A Holt,Scott W Miller, ,1450,3,-0.645868,0.401108,260,0,4,1,2,60,15,14,2.5,0.5,7,4.5,28,2.244017,2.254563,3.219403,0, ,65.767679,-163.284468,<15m, , , ,Garmin 12Map,7/9/03 0:00, , , , , , , , , , , , ,2,10,3,5,276,1,32,3,6,10,24,15,12,3,1193,1,5,190,201,135,97,85,80
75,6M, ,1,1,BELA-E,Lplot,Mesic/Dry Herbaceous,Block6,Emily A Holt,Scott W Miller, ,1000,0.5,-0.679091,0.879844,60,0,15,10,11,44,19,25,3.5,4,0,3,24,2.161616,2.187831,8.66961,0, ,65.653004,-163.45857,<15m, , , ,Garmin 12Map,7/24/03 0:00, , , , , , , , , , , , ,1,10,3,5,276,1,106,2,6,10,71,7,12,2,1192,0,5,167,189,149,93,83,68
76,6P, ,1,1,BELA-E,Lplot,Open Low Shrub - Dwarf Birch/Ericaceous,Block6,Emily A Holt,Scott W Miller, ,1150,2,-0.698993,0.999687,312,0,30,8,6,48,6,32,0.01,3,0.01,0.01,29,2.109894,2.223554,7.828671,0, ,65.61622,-163.43405,<15m, , , ,Garmin 12Map,7/30/03 0:00, , , , , , , , , , , , ,0,10,3,5,276,1,106,2,6,10,71,7,12,2,1192,0,6,159,178,146,88,69,61
77,6S, ,1,1,BELA-E,Lplot,Sparse Vegetation,Block6,Emily A Holt,Peter Neitlich, ,2025,5,-0.587393,0.462417,232,0,0,0,17,5,1,15,50,0,35,0,26,2.253333,2.314286,1.91876,0, ,65.758876,-163.242411,<15m, , , ,Garmin 12Map,6/14/03 0:00, , , , , , , , , , , , ,0,10,3,5,276,1,78,2,6,10,71,7,12,2,1194,0,5,255,255,147,191,167,164
78,7L, ,1,1,BELA-E,Lplot,Dwarf Shrub - Lichen Dominated,Block7,Emily A Holt,Scott W Miller, ,1000,0.5,-0.673927,0.366679,84,0,4,11,0,25,35,2.5,2,3,0,21,20,1.695988,1.799074,8.763333,0, ,65.688141,-163.599955,<15m, , , ,Garmin 12Map,7/24/03 0:00, , , , , , , , , , , , ,0,10,3,5,276,1,78,2,6,10,71,7,12,2,1194,0,4,255,255,148,116,107,83
79,7M, ,1,1,BELA-E,Lplot,Mesic/Dry Herbaceous,Block7,Emily A Holt,Scott W Miller, ,450,1.5,-0.64496,0.862049,162,0,11,33,9,55,11,11,1.5,2.5,0,1,13,2.019841,2.15873,9.4625,0, ,65.63506,-163.877907,<15m, , , ,Garmin 12Map,7/24/03 0:00, , , , , , , , , , , , ,1,13,3,5,276,3,24,2,6,3,17,6,13,2,1194,0,6,171,194,149,88,77,62
80,7P, ,1,1,BELA-E,Lplot,Open Low Shrub - Dwarf Birch/Ericaceous,Block7,Emily A Holt,Scott W Miller, ,1050,2,-0.720971,0.646069,18,0,16,7,11,29,5,47,0.01,3,0,0.01,18,2.126543,2.234954,10.6925,0, ,65.680561,-163.631691,<15m, , , ,Garmin 12Map,7/24/03 0:00, , , , , , , , , , , , ,1,13,3,5,276,3,24,2,6,3,17,6,13,2,1194,0,5,154,186,145,94,80,57
81,7S, ,1,1,BELA-E,Lplot,Sparse Vegetation,Block7,Emily A Holt,Scott W Miller, ,600,0,-0.676,0.237339,0,0,6,7,0.5,0.01,2,68,1,4.5,80,0,42,2.116372,2.249258,7.852312,0, ,65.524049,-163.578143,<15m, , , ,Garmin 12Map,7/6/03 0:00, , , , , , , , , , , , ,0,14,3,5,276,3,110,2,6,3,15,7,13,2,509,0,8,177,143,72,75,61,70
82,7S-b, ,1,1,BELA-E,Lplot,Sparse Vegetation,Block7,Emily A Holt,Scott W Miller, ,600,0,-0.676,0.237339,0,0,15,20,1,1,2,75,0.01,3.5,53,0,33,2.130255,2.21691,7.971963,0, ,65.52384,-163.606714,<15m, , , ,Garmin 12Map,7/6/03 0:00, , , , , , , , , , , , ,2,14,3,5,276,1,32,2,6,12,33,34,18,2,303,0,9,149,127,74,66,52,51
83,8L, ,1,1,BELA-E,Lplot,Dwarf Shrub - Lichen Dominated,Block8,Emily A Holt,Scott W Miller, ,825,8.5,-0.906988,0.222443,2,0,11,8,12,40,12,52,1,3,3,9,22,2.290476,2.215,6.041886,0, ,65.593282,-164.234142,<15m, , , ,Garmin 12Map,7/5/03 0:00, , , , , , , , , , , , ,2,13,3,5,276,1,32,2,6,12,33,34,18,2,304,0,7,156,168,133,85,73,67
84,8L-b, ,1,1,BELA-E,Lplot,Dwarf Shrub - Lichen Dominated,Block8,Emily A Holt,Scott W Miller, ,775,5,-0.627025,0.488937,100,0,2,2,45,10,0,9,15,11,3,0,17,1.879167,2.020635,5.631229,0, ,65.765501,-164.170461,<15m, , , ,Garmin 12Map,7/12/03 0:00, , , , , , , , , , , , ,3,13,3,5,276,1,32,2,6,12,33,34,18,2,303,0,7,189,191,134,106,92,84
85,8M, ,1,1,BELA-E,Lplot,Mesic/Dry Herbaceous,Block8,Emily A Holt,Scott W Miller, ,425,5,-0.579306,0.38382,172,0,15,45,1,45,12,6,0,3,0,11,21,1.878632,1.940222,6.963333,0, ,65.650392,-164.144583,<15m, , , ,Garmin 12Map,7/5/03 0:00, , , , , , , , , , , , ,2,13,3,5,276,3,32,2,6,12,33,34,18,2,303,0,6,175,202,146,85,72,65
86,8P, ,1,1,BELA-E,Lplot,Open Low Shrub - Dwarf Birch/Ericaceous,Block8,Emily A Holt,Scott W Miller, ,525,3.5,-0.743952,0.637582,28,0,10,28,0.5,68,8,16,0,2,0,5,20,1.958796,2.030556,9.66,0, ,65.602643,-164.242945,<15m, , , ,Garmin 12Map,7/5/03 0:00, , , , , , , , , , , , ,0,10,3,5,276,1,32,2,6,10,24,15,12,3,1193,1,6,144,166,134,79,69,58
87,8S, ,1,1,BELA-E,Lplot,Sparse Vegetation,Block8,Emily A Holt,Peter Neitlich, ,1000,3,-0.635854,0.849615,250,0,5,0,28,5,3,45,40,5,25,0,21,2.086111,2.170833,5.389323,0, ,65.72015,-164.175879,<15m, , , ,Garmin 12Map,6/15/03 0:00, , , , , , , , , , , , ,1,10,3,5,276,3,32,2,6,10,25,15,12,3,1165,1,8,213,184,132,143,130,107
88,9L, ,1,1,BELA-E,Lplot,Dwarf Shrub - Lichen Dominated,Block9,Emily A Holt,Scott W Miller, ,650,1,-0.660083,0.802776,242,0,25,15,20,50,30,11,0,2,0,5,23,2.023504,2.052083,9.874877,0, ,65.753995,-163.796395,<15m, , , ,Garmin 12Map,6/30/03 0:00, , , , , , , , , , , , ,0,10,3,5,276,3,32,3,6,10,25,15,12,3,1165,1,4,174,184,134,80,61,55
89,9L-b, ,1,1,BELA-E,Lplot,Dwarf Shrub - Lichen Dominated,Block9,Emily A Holt,Scott W Miller, ,625,1.5,-0.644817,0.533168,210,0,8,9,12,40,12,40,2,1,0,1,17,2.110789,2.218541,8.435,0, ,65.733578,-163.738818,<15m, , , ,Garmin 12Map,6/30/03 0:00, , , , , , , , , , , , ,2,13,3,5,276,3,32,3,6,12,33,34,18,2,303,0,5,190,197,152,97,85,69
90,9M, ,1,1,BELA-E,Lplot,Mesic/Dry Herbaceous,Block9,Emily A Holt,Scott W Miller, ,925,2,-0.698993,0.994996,48,0,4,8,10,60,14,32,1,4,0,0,23,2.062407,2.144124,7.96,0, ,65.744618,-163.652269,<15m, , , ,Garmin 12Map,6/30/03 0:00, , , , , , , , , , , , ,2,13,3,5,276,3,32,3,6,12,33,34,18,2,303,0,4,162,183,141,92,74,64
91,9P, ,1,1,BELA-E,Lplot,Open Low Shrub - Dwarf Birch/Ericaceous,Block9,Emily A Holt,Scott W Miller, ,625,4,-0.782838,0.299994,358,0,5,15,11,80,5,12,0,4,0,12,19,2.024206,2.146795,7.9725,0, ,65.77748,-163.838773,<15m, , , ,Garmin 12Map,6/30/03 0:00, , , , , , , , , , , , ,1,13,3,5,276,1,32,3,6,10,25,15,12,3,1193,1,6,155,180,139,81,72,57
92,AADB2, ,1,2,CAKR07,Lplot,Alpine Alkaline Dry Barrens, ,Abbey Rosso,Sean Patrick, ,414.182,21,-1.197392,0.926602,344,0,20,0,2,5,3,5,3,1,70,0,18,2.166667,2.166667,4.835,0, ,67.231478,-163.312739,0.1 – 0.7 m,2.9,1.3,Postprocessed Carrier Fl,GeoXH 2005,6/12/07 0:00,11:14:36am,New,Lichen_P,RCRXHR061211A.cor,8,8,KOVA_CAKR_07,414.182,0.4,0.2,0,25,4,4,2,8,241,3,24,3,1,21,30,29,12,1,1176,1,3,147,114,78,99,80,94
93,AADD1, ,1,2,CAKR07,Lplot,Alpine Nonalkaline Dry Dryas Shrub, ,Shanti Berryman,Julia Steege, ,318.89,42,-0.328792,0.758885,112,0,45,0,0.1,0.1,2,20,0.1,15,60,0,55,2.124237,2.144466,4.474052,0,Not alkaline - rock is acidic.,67.590764,-163.608561,0.1 – 0.7 m,3.3,1.4,Postprocessed Code,GeoXH 2005,6/15/07 0:00,01:42:51pm,New,Lichen_P,AKRXHR061509A.cor,8,8,KOVA_CAKR_07,318.89,0.7,0.5,0.306243,45,4,4,3,3,210,3,24,3,1,21,76,29,12,1,1172,0,3,216,209,134,99,83,79
94,AADD2, ,1,2,CAKR07,Lplot,Alpine Alkaline Dry Dryas Shrub, ,Shanti Berryman,Julia Steege, ,228.093,12,-0.452442,0.200758,220,0,40,0,0.1,2,0.1,2,5,0.1,50,0,22,2.138889,2.15625,3.96,0,"No apparent grazing of lichen. Scat = most likely muskoxen, muskoxen hair nearby.",67.159902,-163.532035,0.1 – 0.7 m,3.9,1.5,Postprocessed Code,GeoXH 2005,6/12/07 0:00,01:33:06pm,New,Lichen_P,AKRXHR061210B.cor,9,9,KOVA_CAKR_07,228.093,0.9,0.5,0.403127,40,4,3,2,8,241,1,24,3,1,21,29,29,8,1,1176,1,4,255,232,133,149,129,134
95,AADD3, ,1,2,CAKR07,Lplot,Alpine Alkaline Dry Barrens, ,Shanti Berryman,Julia Steege, ,259.625,32,-0.175943,0.962574,142,0,10,0,0.1,1,0.1,0.1,3,0.1,90,0,14,2.75,2.7,4.09,0,"No organic soil. Tried to collect duff material in one swath of vegetation (note: this duff was treated as """"organic soil layer"""" for pH testing.",67.162564,-163.028418,0.1 – 0.7 m,2.7,1.3,Postprocessed Code,GeoXH 2005,6/12/07 0:00,10:14:21am,New,Lichen_P,AKRXHR061210A.cor,8,8,KOVA_CAKR_07,259.625,0.9,0.5,0.253998,10,4,3,2,8,241,6,24,3,1,21,30,29,12,1,1176,1,3,255,255,145,225,189,219
96,AK-1, ,0,3,NOAT-W,survey, , ,Tracy Wiese,Bruce Carter, ,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,67.93653,-161.09727,<15m, , , ,Garmin 12Map,9/2/02 0:00, , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,129,147,116,69,50,39
97,AKP-Camp,AKP-Camp2,0,4,GAAR,judgement, , ,Linda Hasselbach,Peter Neitlich, ,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,68.11623,-151.0424,<15m, , , ,Garmin GPS 48,7/1/97 0:00, , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,200,211,144,99,83,82
98,AKP-Gen, ,0,4,GAAR,survey, , ,Linda Hasselbach,Peter Neitlich, ,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,68.11666,-151.85,<15m, , , ,Garmin GPS 48,7/1/76 0:00, , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,207,197,130,87,63,69
99,Akurekvi,Akurekvik,0,4,GAAR,survey, , ,Peter Neitlich,Linda Hasselbach, ,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,67.2081,-155.03218,<15m, , , ,Garmin GPS 48,8/1/97 0:00, , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,135,152,140,110,88,71
100,Alat1, ,0,4,GAAR,survey, , ,Linda Hasselbach,Peter Neitlich, ,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,67.9702,-154.97455,<15m, , , ,Garmin GPS 48,7/1/97 0:00, , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,159,180,146,79,64,67
101,AMDD2, ,1,2,CAKR07,Lplot,Alpine Nonalkaline Dry Barrens, ,Shanti Berryman,Julia Steege, ,285.027,11,-0.540215,0.781227,110,0,25,0,0.1,0.1,0.1,3,0.1,1,65,0,30,2.13244,2.170168,2.286667,0,"Collected mineral and organic soil. Organic was sparse, mainly scree rock, just under shrubs.",67.519505,-163.804809,0.1 – 0.7 m,2.5,1.4,Postprocessed Code,GeoXH 2005,6/13/07 0:00,05:00:11pm,New,Lichen_P,AKRXHR061314A.cor,5,5,KOVA_CAKR_07,285.027,0.8,0.6,0.374463,25,4,4,3,3,210,1,24,3,1,21,59,31,8,2,1172,0,4,255,206,114,144,125,124
102,AN-1, ,0,3,NOAT-W,survey, , ,Tracy Wiese,Bruce Carter, ,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,67.96779,-158.01696,<15m, , , ,Garmin 12Map,8/2/02 0:00, , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,74,71,82,95,66,73
103,ANDB2, ,1,2,CAKR07,Lplot,Alpine Nonalkaline Dry Dryas Shrub, ,Abbey Rosso,Sean Patrick, ,192.633,15,-0.628411,0.99367,86,0,75,0,4,0.1,5,2,0.1,2,15,0,40,2.072846,2.136744,3.4375,0, ,67.517111,-163.760425,0.1 – 0.7 m,2,0.9,Postprocessed Carrier Fl,GeoXH 2005,6/14/07 0:00,12:02:46pm,New,Lichen_P,RCRXHR061411A.cor,21,21,KOVA_CAKR_07,192.633,0.2,0.1,0,80,4,4,3,3,210,1,24,3,1,21,59,31,8,2,1172,0,3,159,174,157,78,58,56
104,ANDD1, ,1,2,CAKR07,Lplot,Alpine Nonalkaline Dry Dryas Shrub, ,Abbey Rosso,Sean Patrick, ,509.274,19,-0.327892,0.62048,150,0,50,0,3,1,5,15,1,2,35,0,44,2.051257,2.026414,4.034115,0, ,67.794963,-163.184701,0.1 – 0.7 m,2.4,1.4,Postproces,GeoXH 2005,6/15/07 0:00,04:42:26pm,New,Lichen_P,RCRXHR061,14,14,KOVA_CAKR_07,509.274,0.4,0.3,0,55,4,4,3,3,210,1,24,3,1,21,46,31,12,2,1172,0,4,255,243,131,121,104,100
105,ARR-L Fo,ARR-L Fork,0,4,GAAR,survey, , ,Peter Neitlich,Linda Hasselbach, ,1250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,67.41486,-154.09,<15m, , , ,Garmin GPS 48,7/1/96 0:00, , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,26,18,16,25,13,29
106,ARR-Lich,ARR-Lichen knoll 1,0,4,GAAR,survey, , ,Linda Hasselbach,Peter Neitlich, ,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,67.47601,-153.99374,<15m, , , ,Garmin GPS 48,7/1/96 0:00, , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,78,93,98,46,30,37
107,ARR-SW F,ARR-SW Fork,0,4,GAAR,survey, , ,Peter Neitlich,Linda Hasselbach, ,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,67.42428,-154.15976,<15m, , , ,Garmin GPS 48,7/1/96 0:00, , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,240,178,103,127,103,102
108,AT-1, ,0,3,NOAT-W,survey, , ,Tracy Wiese,Bruce Carter, ,409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,67.93679,-157.43324,<15m, , , ,Garmin 12Map,9/2/02 0:00, , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,186,190,132,92,86,72
109,AW4, ,1,5,KOVA,Lplot,Alder/Willow, ,Shanti Berryman,Heath Powers, ,195.623,10,-0.740252,0.550808,298,0,70,55,0.1,30,15,0.1,0.1,25,0.1,0,15,1.877778,1.930556,5.024807,1,"Total survey time: 1hr 15min. No caribou sign, but lots of moose sign, trails, etc. Height specimens were not chosen at random because there were very few specimens and samples were within 5m of each other. Most specimens were trampled by animals, the on",67.400301,-158.391144,0.1 – 0.7 m,2.2,1.2,Postprocessed Code,GeoXH 2005,6/5/07 0:00,12:07:06pm,New,Lichen_P,AKRXHR060512A.cor,21,21,KOVA_CAKR_07,195.623,0.8,0.6,0.428716,98,3,6,3,3,230,6,110,3,2,2,4,14,13,2,1191,1,2,81,127,178,52,22,32
110,Aya Cr, ,0,4,GAAR,survey, , ,Linda Hasselbach,Peter Neitlich, ,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,68.13023,-154.65374,<15m, , , ,Garmin GPS 48,7/1/97 0:00, , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,171,172,122,75,66,59
111,B/t Kar2,B/t Kar2-Aya Cr,0,4,GAAR,survey, , ,Linda Hasselbach,Peter Neitlich, ,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,68.13892,-154.61814,<15m, , , ,Garmin GPS 48,7/1/97 0:00, , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,210,232,160,94,88,77
112,CampCopt,Camp Copt,0,3,NOAT-E,survey, , ,Lichen Quest, , ,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,68.47395,-161.9625,< 15 m, , , ,Garmin 12Map,6/25/04 0:00, , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,162,131,81,76,57,58
113,CBM2R, ,1,2,CAKR07,Lplot,Coastal Barrens and Meadow, ,Shanti Berryman,Julia Steege, ,0.092,0,-0.676,0.237339,0,0,0,0,0.1,87,0.1,0,0,0,0,3,1,1,1,0,0,"This plot was located in the water, so we moved it to land which is all very wet grass/sedge lowlands with much standing water. No lichen or bryophytes. Only a few forbs. Soil - could not get mineral soil and tried to get org. layer but the entire plot w",67.100529,-163.462723,0.1 – 0.7 m,2.6,1,Postprocessed Code,GeoXH 2005,6/13/07 0:00,08:43:46am,New,Lichen_P,AKRXHR061217A.cor,8,8,KOVA_CAKR_07,0.092,1.1,0.4,0.193157,87,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,144,149,110,59,52,34
114,CBM3R, ,1,2,CAKR07,Lplot,Coastal Barrens and Meadow, ,Abbey Rosso,Sean Patrick, ,1.452,0,-0.676,0.237339,0,0,30,0,1,20,40,8,3,5,0.1,1,30,2.163889,2.253472,3.09,1,"A lot of the lichens seemed trampled and/or stirred up. Bands of Stereocaulon between lichenless wetter areas and drier center of plot. Note: initial plot site was ~1/2 in water, so moved edge of plot to water edge. 1/2 plot = lichenless, slightly higher",67.126927,-163.521127,0.1 – 0.7 m,2,0.8,Postprocessed Carrier Fl,GeoXH 2005,6/13/07 0:00,09:50:31am,New,Lichen_P,RCRXHR061309A.cor,8,8,KOVA_CAKR_07,1.452,0.2,0.1,0,50,1,3,3,5,245,2,113,3,5,16,49,21,3,1,1176,1,5,199,186,110,80,74,72
115,CF2R, ,1,2,CAKR07,Lplot,Upland Moist Spruce Forest, ,Shanti Berryman,Sean Patrick, ,149.975,7,-0.540723,0.134913,140,20,50,25,35,25,65,0.1,0,35,0.1,0,58,1.911619,1.849311,5.470901,1, ,67.145823,-162.786864,0.1 – 0.7 m,3.8,1.5,Postprocessed Carrier Fl,GeoXH 2005,7/4/07 0:00,12:16:06pm,New,Lichen_P,RCRXHR070409A.cor,10,10,KOVA_CAKR_07,149.975,0.8,0.5,0,90,3,3,2,8,241,1,24,3,5,16,49,21,3,1,1176,1,4,66,85,112,45,25,27
